lead_id,conversion_date,conversion_value,conversion_type
lead_000159,2025-01-01 09:44:08.440819,9860.79,Purchase
lead_000163,2025-01-01 18:19:08.440819,8692.21,Subscription
lead_000164,2024-12-16 23:49:08.440819,7923.41,Purchase
lead_000165,2024-12-30 11:45:08.440819,5565.87,Subscription
lead_000166,2024-12-24 01:27:08.440819,1321.1,Trial
lead_000167,2025-01-08 04:03:08.440819,6229.2,Trial
lead_000168,2024-12-21 05:04:08.440819,6841.46,Trial
lead_000171,2025-01-03 17:32:08.440819,1119.57,Subscription
lead_000172,2025-01-02 14:24:08.440819,8608.78,Demo
lead_000177,2024-12-26 10:20:08.440819,5519.84,Trial
lead_000181,2024-12-26 04:26:08.440819,4334.29,Trial
lead_000182,2025-01-01 03:59:08.440819,5602.72,Purchase
lead_000184,2024-12-26 13:59:08.440819,6748.75,Trial
lead_000186,2024-12-21 23:36:08.440819,8619.81,Subscription
lead_000188,2024-12-21 05:45:08.440819,4005.5,Demo
lead_000192,2024-12-24 06:00:08.440819,6552.68,Subscription
lead_000195,2025-01-09 18:45:08.440819,3864.76,Subscription
lead_000199,2024-12-23 16:39:08.440819,3505.21,Trial
lead_000202,2025-01-16 11:28:08.440819,3662.64,Purchase
lead_000205,2025-01-06 09:43:08.440819,4793.22,Trial
lead_000207,2024-12-21 02:16:08.440819,3841.58,Trial
lead_000210,2025-01-17 01:57:08.440819,5682.87,Purchase
lead_000213,2025-01-10 02:56:08.440819,8469.68,Trial
lead_000220,2025-01-01 05:58:08.440819,2859.15,Purchase
lead_000223,2024-12-31 16:06:08.440819,2969.62,Subscription
lead_000227,2024-12-27 04:13:08.440819,3289.19,Subscription
lead_000230,2024-12-30 06:07:08.440819,6772.68,Purchase
lead_000231,2025-01-14 11:27:08.440819,4952.78,Subscription
lead_000235,2025-01-18 00:28:08.440819,5325.85,Demo
lead_000237,2024-12-27 07:44:08.440819,1122.26,Subscription
lead_000238,2024-12-25 01:57:08.440819,4226.83,Demo
lead_000241,2025-01-10 00:50:08.440819,9221.78,Subscription
lead_000246,2024-12-28 03:55:08.440819,8308.05,Trial
lead_000248,2025-01-11 07:03:08.440819,4374.92,Subscription
lead_000249,2025-01-06 21:24:08.440819,5565.86,Demo
lead_000253,2024-12-25 18:44:08.440819,8487.76,Purchase
lead_000257,2025-01-01 15:18:08.440819,8202.98,Trial
lead_000258,2024-12-23 05:32:08.440819,9060.61,Purchase
lead_000268,2025-01-09 15:41:08.440819,9067.98,Subscription
lead_000271,2025-01-07 16:30:08.440819,3299.91,Demo
lead_000273,2025-01-21 00:41:08.440819,3271.65,Subscription
lead_000286,2024-12-31 14:32:08.440819,1546.15,Trial
lead_000287,2025-01-05 10:47:08.440819,5376.89,Trial
lead_000294,2025-01-21 08:25:08.440819,6155.83,Subscription
lead_000303,2025-01-20 01:52:08.440819,3488.7,Subscription
lead_000305,2025-01-21 21:29:08.440819,2193.67,Trial
lead_000307,2025-01-17 12:09:08.440819,9591.4,Subscription
lead_000314,2024-12-27 17:54:08.440819,7210.21,Subscription
lead_000321,2025-01-09 19:16:08.440819,5204.33,Purchase
lead_000328,2024-12-27 07:58:08.440819,7971.26,Trial
lead_000329,2025-01-15 02:10:08.440819,8127.98,Purchase
lead_000332,2024-12-26 22:38:08.440819,1537.62,Purchase
lead_000333,2025-01-08 20:09:08.440819,7888.0,Demo
lead_000338,2025-01-05 22:14:08.440819,8205.56,Purchase
lead_000340,2025-01-12 16:42:08.440819,4848.7,Purchase
lead_000343,2025-01-15 12:28:08.440819,9819.67,Subscription
lead_000345,2025-01-05 20:53:08.440819,2664.01,Purchase
lead_000347,2025-01-19 01:50:08.440819,8831.36,Subscription
lead_000351,2025-01-24 06:47:08.440819,6624.45,Demo
lead_000355,2025-01-11 21:32:08.440819,9015.61,Subscription
lead_000358,2025-01-13 02:12:08.440819,3630.97,Trial
lead_000363,2025-01-07 09:43:08.440819,7283.65,Demo
lead_000365,2025-01-10 06:01:08.440819,4612.91,Subscription
lead_000366,2025-01-06 21:44:08.440819,8000.23,Demo
lead_000368,2025-01-21 03:28:08.440819,6087.83,Trial
lead_000369,2025-01-09 10:17:08.440819,9181.38,Subscription
lead_000376,2025-01-11 21:50:08.440819,1627.8,Demo
lead_000377,2025-01-05 18:48:08.440819,5047.93,Trial
lead_000378,2025-01-10 19:48:08.440819,2897.82,Demo
lead_000381,2025-01-11 16:21:08.440819,8897.42,Purchase
lead_000385,2025-01-04 18:46:08.440819,3279.62,Demo
lead_000387,2025-01-19 05:15:08.440819,8455.94,Purchase
lead_000389,2025-01-26 07:47:08.440819,7206.44,Demo
lead_000396,2025-01-25 21:23:08.440819,1276.61,Demo
lead_000398,2025-01-07 06:22:08.440819,4157.72,Subscription
lead_000401,2025-01-06 16:41:08.440819,4764.93,Purchase
lead_000403,2025-01-01 11:20:08.440819,1094.07,Subscription
lead_000411,2025-01-03 02:21:08.440819,2686.83,Demo
lead_000416,2024-12-31 11:36:08.440819,1653.29,Purchase
lead_000417,2025-01-03 17:43:08.440819,5568.97,Demo
lead_000418,2025-01-26 00:05:08.440819,5761.18,Purchase
lead_000424,2025-01-21 12:49:08.440819,3682.45,Purchase
lead_000427,2025-01-03 03:13:08.440819,7668.41,Demo
lead_000434,2025-01-26 14:11:08.440819,6191.2,Subscription
lead_000435,2025-01-30 00:45:08.440819,3427.86,Trial
lead_000436,2024-12-31 18:32:08.440819,9156.79,Purchase
lead_000438,2025-01-06 00:14:08.440819,8456.86,Subscription
lead_000441,2025-01-20 08:58:08.440819,4587.81,Purchase
lead_000445,2025-01-09 09:15:08.440819,1823.87,Purchase
lead_000451,2025-01-18 11:06:08.440819,7134.47,Purchase
lead_000452,2025-01-18 22:11:08.440819,8215.75,Demo
lead_000455,2025-01-22 18:44:08.440819,2687.67,Demo
lead_000456,2025-01-02 12:09:08.440819,3744.05,Trial
lead_000461,2025-01-09 12:34:08.440819,1089.77,Trial
lead_000462,2025-01-09 02:29:08.440819,5759.62,Subscription
lead_000474,2025-01-10 21:52:08.440819,8350.34,Purchase
lead_000480,2025-01-21 12:39:08.440819,8975.59,Subscription
lead_000481,2025-01-19 22:37:08.440819,5195.23,Purchase
lead_000488,2025-01-09 18:35:08.440819,4132.84,Subscription
lead_000490,2025-01-18 19:05:08.440819,1551.51,Trial
lead_000498,2025-01-17 19:57:08.440819,9679.0,Purchase
lead_000500,2025-01-24 18:13:08.440819,9467.6,Demo
lead_000503,2025-01-04 18:44:08.440819,9127.76,Demo
lead_000504,2025-01-21 15:28:08.440819,2164.03,Trial
lead_000506,2025-01-05 03:23:08.440819,5562.24,Demo
lead_000511,2025-01-07 21:00:08.440819,2853.8,Demo
lead_000530,2025-01-14 17:47:08.440819,8566.04,Subscription
lead_000531,2025-02-04 14:25:08.440819,7821.6,Demo
lead_000535,2025-02-04 05:41:08.440819,9877.09,Demo
lead_000536,2025-01-10 17:53:08.440819,6150.0,Subscription
lead_000540,2025-01-23 00:09:08.440819,9944.35,Trial
lead_000551,2025-01-10 11:11:08.440819,2105.14,Demo
lead_000557,2025-01-10 19:06:08.440819,7561.38,Trial
lead_000561,2025-01-17 08:49:08.440819,1631.83,Demo
lead_000562,2025-01-15 19:22:08.440819,8711.54,Purchase
lead_000563,2025-01-28 01:48:08.440819,4802.03,Purchase
lead_000564,2025-01-09 13:33:08.440819,8018.2,Trial
lead_000567,2025-01-23 21:00:08.440819,6786.86,Subscription
lead_000568,2025-01-09 20:18:08.440819,8602.84,Demo
lead_000571,2025-01-31 04:03:08.440819,1959.33,Trial
lead_000576,2025-01-11 13:32:08.440819,4132.54,Trial
lead_000577,2025-01-28 06:58:08.440819,6492.12,Subscription
lead_000582,2025-02-02 20:46:08.440819,8431.43,Demo
lead_000587,2025-01-17 22:50:08.440819,2778.34,Trial
lead_000588,2025-01-17 05:32:08.440819,1740.78,Trial
lead_000592,2025-01-20 17:13:08.440819,6707.73,Subscription
lead_000595,2025-01-14 21:56:08.440819,1070.02,Demo
lead_000596,2025-01-22 13:35:08.440819,4458.1,Purchase
lead_000598,2025-01-30 10:07:08.440819,1302.62,Demo
lead_000601,2025-01-13 06:44:08.440819,2083.28,Demo
lead_000609,2025-01-17 14:37:08.440819,3261.71,Trial
lead_000610,2025-02-04 10:36:08.440819,6897.17,Trial
lead_000614,2025-02-06 12:51:08.440819,8851.31,Purchase
lead_000618,2025-02-08 23:20:08.440819,4907.37,Trial
lead_000621,2025-02-02 04:26:08.440819,9389.26,Demo
lead_000625,2025-02-08 13:24:08.440819,4511.44,Trial
lead_000628,2025-01-21 01:39:08.440819,5346.94,Subscription
lead_000632,2025-01-29 11:16:08.440819,6392.08,Demo
lead_000633,2025-02-01 10:39:08.440819,9080.38,Demo
lead_000642,2025-02-09 15:51:08.440819,8565.11,Purchase
lead_000645,2025-01-13 17:46:08.440819,2808.21,Trial
lead_000647,2025-01-19 16:34:08.440819,5053.25,Subscription
lead_000655,2025-01-21 06:51:08.440819,5962.73,Purchase
lead_000660,2025-02-02 08:47:08.440819,2225.99,Trial
lead_000666,2025-01-26 02:25:08.440819,9474.54,Purchase
lead_000667,2025-02-06 21:39:08.440819,3782.45,Trial
lead_000669,2025-01-24 14:05:08.440819,6428.87,Subscription
lead_000673,2025-01-19 22:12:08.440819,2331.66,Subscription
lead_000677,2025-01-24 07:13:08.440819,3119.01,Trial
lead_000681,2025-02-02 05:55:08.440819,8582.43,Demo
lead_000686,2025-01-30 17:11:08.440819,2314.99,Purchase
lead_000687,2025-01-21 23:10:08.440819,9296.74,Subscription
lead_000688,2025-01-14 21:57:08.440819,5624.85,Trial
lead_000689,2025-01-20 23:11:08.440819,2967.09,Subscription
lead_000690,2025-02-14 10:19:08.440819,4555.01,Subscription
lead_000697,2025-02-08 17:09:08.440819,8907.71,Purchase
lead_000700,2025-01-31 04:50:08.440819,3399.6,Subscription
lead_000705,2025-01-29 23:49:08.440819,1397.66,Trial
lead_000706,2025-01-18 10:15:08.440819,8315.22,Subscription
lead_000714,2025-02-03 07:11:08.440819,5693.89,Purchase
lead_000715,2025-01-28 19:25:08.440819,8549.27,Purchase
lead_000716,2025-02-14 00:32:08.440819,8337.73,Subscription
lead_000717,2025-02-11 10:22:08.440819,8142.97,Demo
lead_000720,2025-01-22 21:52:08.440819,3801.29,Trial
lead_000721,2025-01-28 21:47:08.440819,2563.56,Subscription
lead_000723,2025-01-31 00:06:08.440819,4295.81,Demo
lead_000725,2025-01-17 16:04:08.440819,3480.97,Demo
lead_000728,2025-02-10 13:22:08.440819,8172.15,Subscription
lead_000729,2025-01-30 10:02:08.440819,6094.13,Demo
lead_000735,2025-01-19 04:44:08.440819,7949.52,Trial
lead_000738,2025-02-06 07:30:08.440819,9751.31,Purchase
lead_000739,2025-02-15 07:57:08.440819,5352.41,Subscription
lead_000740,2025-02-13 06:33:08.440819,2972.4,Subscription
lead_000742,2025-02-13 06:03:08.440819,5288.89,Trial
lead_000745,2025-02-09 06:48:08.440819,3981.5,Demo
lead_000748,2025-01-18 12:21:08.440819,1854.43,Purchase
lead_000749,2025-01-30 04:22:08.440819,8182.76,Purchase
lead_000755,2025-01-31 11:33:08.440819,8976.81,Trial
lead_000759,2025-02-14 22:29:08.440819,5472.93,Purchase
lead_000760,2025-01-21 17:38:08.440819,8776.81,Trial
lead_000761,2025-01-24 09:20:08.440819,5579.18,Demo
lead_000763,2025-02-05 19:20:08.440819,2438.96,Trial
lead_000765,2025-01-26 21:44:08.440819,4192.73,Purchase
lead_000766,2025-02-14 09:11:08.440819,9898.69,Demo
lead_000767,2025-02-17 23:35:08.440819,3695.15,Trial
lead_000770,2025-02-07 20:44:08.440819,2552.18,Purchase
lead_000773,2025-02-10 20:54:08.440819,8519.3,Trial
lead_000775,2025-01-25 23:24:08.440819,3213.32,Purchase
lead_000776,2025-02-06 07:31:08.440819,7189.01,Subscription
lead_000782,2025-01-23 12:51:08.440819,2475.9,Subscription
lead_000790,2025-01-27 00:31:08.440819,5266.85,Trial
lead_000797,2025-01-20 15:40:08.440819,3866.13,Trial
lead_000800,2025-01-20 07:07:08.440819,1109.17,Purchase
lead_000810,2025-02-10 14:03:08.440819,8984.84,Demo
lead_000813,2025-01-31 03:23:08.440819,2121.13,Subscription
lead_000823,2025-01-25 13:48:08.440819,9416.91,Purchase
lead_000826,2025-02-17 06:04:08.440819,2961.02,Purchase
lead_000828,2025-02-14 06:31:08.440819,5596.68,Demo
lead_000833,2025-02-11 21:23:08.440819,7037.79,Trial
lead_000834,2025-01-21 20:06:08.440819,3894.69,Demo
lead_000836,2025-02-07 00:00:08.440819,1701.86,Trial
lead_000838,2025-01-27 00:43:08.440819,2275.66,Purchase
lead_000846,2025-01-25 07:46:08.440819,8871.23,Subscription
lead_000850,2025-02-16 08:26:08.440819,8047.34,Trial
lead_000856,2025-02-05 12:14:08.440819,9136.28,Subscription
lead_000858,2025-02-14 23:55:08.440819,5207.76,Demo
lead_000859,2025-02-10 09:09:08.440819,7894.34,Trial
lead_000868,2025-02-19 03:08:08.440819,9431.9,Purchase
lead_000870,2025-02-05 10:55:08.440819,4150.84,Demo
lead_000872,2025-02-09 12:36:08.440819,4410.04,Subscription
lead_000885,2025-02-18 16:05:08.440819,7230.26,Trial
lead_000887,2025-02-18 08:17:08.440819,2039.06,Demo
lead_000889,2025-02-02 11:47:08.440819,5313.56,Trial
lead_000890,2025-02-02 16:07:08.440819,3668.62,Subscription
lead_000895,2025-02-04 15:59:08.440819,2372.5,Subscription
lead_000896,2025-02-05 21:11:08.440819,7629.91,Trial
lead_000897,2025-02-16 18:02:08.440819,1984.24,Trial
lead_000904,2025-02-01 08:32:08.440819,2792.08,Subscription
lead_000906,2025-02-07 21:11:08.440819,7132.95,Demo
lead_000909,2025-01-30 15:05:08.440819,6572.85,Subscription
lead_000911,2025-02-16 19:32:08.440819,7397.98,Purchase
lead_000914,2025-02-05 11:51:08.440819,5656.05,Purchase
lead_000920,2025-02-02 10:06:08.440819,7476.5,Demo
lead_000927,2025-02-20 16:07:08.440819,5963.42,Subscription
lead_000928,2025-02-22 03:25:08.440819,8421.98,Subscription
lead_000934,2025-02-11 03:51:08.440819,7757.96,Subscription
lead_000935,2025-01-30 19:19:08.440819,7311.54,Demo
lead_000944,2025-01-30 19:38:08.440819,2865.79,Subscription
lead_000946,2025-02-07 00:56:08.440819,1914.2,Subscription
lead_000947,2025-02-01 04:35:08.440819,1449.58,Demo
lead_000948,2025-02-08 03:20:08.440819,6064.72,Subscription
lead_000963,2025-02-02 09:56:08.440819,8549.5,Purchase
lead_000965,2025-02-11 03:42:08.440819,5765.27,Trial
lead_000966,2025-02-23 15:13:08.440819,3087.23,Trial
lead_000975,2025-02-09 13:21:08.440819,3345.59,Purchase
lead_000978,2025-02-05 21:27:08.440819,5384.62,Trial
lead_000981,2025-02-10 22:11:08.440819,9164.04,Demo
lead_000986,2025-01-28 20:25:08.440819,6284.03,Subscription
lead_000988,2025-02-21 02:35:08.440819,2977.9,Purchase
lead_000989,2025-02-07 11:09:08.440819,4627.51,Subscription
lead_000994,2025-02-04 23:31:08.440819,2423.45,Trial
lead_000995,2025-02-15 04:53:08.440819,4548.75,Purchase
lead_000996,2025-02-22 12:19:08.440819,8676.38,Demo
lead_000998,2025-02-23 20:30:08.440819,7197.77,Subscription
lead_000999,2025-01-30 16:21:08.440819,9853.91,Purchase
lead_001001,2025-02-22 06:18:08.440819,1558.69,Trial
lead_001002,2025-02-06 21:10:08.440819,5418.29,Purchase
lead_001011,2025-02-21 22:33:08.440819,6918.68,Subscription
lead_001013,2025-02-10 15:54:08.440819,8522.18,Demo
lead_001014,2025-01-31 20:37:08.440819,8003.22,Purchase
lead_001018,2025-02-26 20:10:08.440819,2726.45,Subscription
lead_001022,2025-02-21 16:11:08.440819,4094.96,Purchase
lead_001023,2025-02-11 20:02:08.440819,5165.87,Trial
lead_001034,2025-02-09 02:14:08.440819,5505.09,Demo
lead_001035,2025-02-10 04:09:08.440819,9174.43,Trial
lead_001040,2025-02-12 16:12:08.440819,3833.7,Demo
lead_001047,2025-02-16 02:57:08.440819,8306.92,Purchase
lead_001052,2025-02-14 06:37:08.440819,9987.1,Trial
lead_001054,2025-02-13 16:19:08.440819,8973.48,Purchase
lead_001058,2025-02-19 15:42:08.440819,9917.3,Trial
lead_001060,2025-03-03 13:43:08.440819,2125.57,Trial
lead_001064,2025-02-08 18:09:08.440819,1905.39,Trial
lead_001066,2025-02-26 02:47:08.440819,4772.2,Trial
lead_001067,2025-02-09 10:18:08.440819,9367.14,Demo
lead_001068,2025-02-03 10:07:08.440819,6003.58,Trial
lead_001076,2025-02-13 07:59:08.440819,9487.1,Trial
lead_001080,2025-02-07 07:46:08.440819,4454.64,Trial
lead_001086,2025-02-04 10:56:08.440819,7468.65,Subscription
lead_001090,2025-02-07 09:09:08.440819,7281.0,Subscription
lead_001091,2025-02-04 08:28:08.440819,5153.99,Purchase
lead_001094,2025-02-10 01:17:08.440819,1144.07,Trial
lead_001100,2025-02-12 20:21:08.440819,8886.23,Purchase
lead_001101,2025-02-13 18:23:08.440819,6739.56,Demo
lead_001104,2025-02-14 04:36:08.440819,7439.76,Subscription
lead_001106,2025-03-01 16:56:08.440819,4404.51,Subscription
lead_001111,2025-03-02 09:06:08.440819,7632.86,Trial
lead_001113,2025-02-18 10:48:08.440819,3382.47,Demo
lead_001115,2025-03-06 05:56:08.440819,5584.81,Trial
lead_001119,2025-03-01 03:58:08.440819,1680.15,Subscription
lead_001120,2025-02-06 05:52:08.440819,6782.69,Demo
lead_001121,2025-02-23 10:07:08.440819,8055.07,Subscription
lead_001132,2025-02-09 23:07:08.440819,1467.86,Purchase
lead_001141,2025-02-28 19:31:08.440819,6918.43,Subscription
lead_001142,2025-02-26 12:37:08.440819,7249.23,Purchase
lead_001147,2025-02-12 10:10:08.440819,7404.82,Trial
lead_001149,2025-02-19 00:11:08.440819,2820.72,Subscription
lead_001163,2025-03-06 00:32:08.440819,5215.4,Demo
lead_001165,2025-02-25 01:09:08.440819,8945.0,Demo
lead_001174,2025-03-02 12:08:08.440819,4965.2,Demo
lead_001189,2025-03-04 13:29:08.440819,7268.46,Trial
lead_001195,2025-02-18 09:53:08.440819,3949.19,Demo
lead_001198,2025-02-16 00:47:08.440819,3689.15,Demo
lead_001206,2025-03-08 01:32:08.440819,1405.03,Demo
lead_001207,2025-02-17 03:59:08.440819,3480.93,Demo
lead_001212,2025-03-06 10:00:08.440819,4643.89,Subscription
lead_001213,2025-02-22 09:34:08.440819,1103.5,Subscription
lead_001216,2025-02-25 02:47:08.440819,1755.63,Trial
lead_001217,2025-02-12 05:16:08.440819,8511.12,Subscription
lead_001222,2025-03-01 21:03:08.440819,1433.85,Purchase
lead_001227,2025-02-27 13:48:08.440819,8075.29,Demo
lead_001229,2025-03-05 14:52:08.440819,6201.9,Purchase
lead_001230,2025-02-28 18:36:08.440819,3130.8,Demo
lead_001237,2025-03-01 03:52:08.440819,1662.46,Demo
lead_001244,2025-02-24 20:22:08.440819,7235.62,Trial
lead_001248,2025-02-19 15:05:08.440819,1901.42,Demo
lead_001250,2025-03-02 14:50:08.440819,4810.96,Purchase
lead_001254,2025-03-03 12:30:08.440819,6731.78,Demo
lead_001257,2025-02-12 17:03:08.440819,8289.41,Subscription
lead_001258,2025-03-06 05:44:08.440819,2209.21,Purchase
lead_001265,2025-02-20 22:32:08.440819,9779.02,Demo
lead_001266,2025-02-26 14:28:08.440819,2492.04,Demo
lead_001267,2025-03-01 18:03:08.440819,8881.02,Trial
lead_001269,2025-03-11 20:09:08.440819,5269.82,Purchase
lead_001270,2025-03-03 02:37:08.440819,1931.99,Subscription
lead_001272,2025-03-11 01:31:08.440819,8828.18,Trial
lead_001276,2025-03-14 03:50:08.440819,6551.74,Purchase
lead_001277,2025-02-23 21:07:08.440819,9603.58,Subscription
lead_001278,2025-03-06 21:43:08.440819,8705.94,Subscription
lead_001281,2025-03-05 08:08:08.440819,7798.23,Demo
lead_001282,2025-02-25 05:56:08.440819,8089.97,Trial
lead_001283,2025-02-16 23:23:08.440819,9763.53,Trial
lead_001284,2025-02-24 16:34:08.440819,3526.78,Trial
lead_001285,2025-03-11 21:30:08.440819,4531.74,Subscription
lead_001286,2025-02-21 21:22:08.440819,4693.09,Trial
lead_001292,2025-02-12 17:45:08.440819,6669.3,Trial
lead_001298,2025-03-03 06:43:08.440819,6882.87,Subscription
lead_001299,2025-02-24 03:24:08.440819,2091.13,Purchase
lead_001300,2025-02-16 05:48:08.440819,1705.95,Subscription
lead_001301,2025-02-27 15:47:08.440819,2780.14,Subscription
lead_001302,2025-02-16 06:07:08.440819,1349.11,Purchase
lead_001304,2025-03-04 01:43:08.440819,4918.47,Trial
lead_001305,2025-02-19 02:55:08.440819,3541.54,Purchase
lead_001308,2025-02-20 10:15:08.440819,9609.35,Trial
lead_001316,2025-02-28 14:12:08.440819,2231.95,Purchase
lead_001317,2025-03-05 14:34:08.440819,9063.72,Demo
lead_001318,2025-03-09 05:21:08.440819,4365.34,Trial
lead_001324,2025-03-09 05:18:08.440819,2961.56,Subscription
lead_001326,2025-03-04 12:10:08.440819,4589.39,Purchase
lead_001327,2025-02-20 22:49:08.440819,6674.65,Subscription
lead_001329,2025-02-18 23:56:08.440819,9687.95,Trial
lead_001331,2025-03-02 20:02:08.440819,7692.49,Demo
lead_001333,2025-02-23 05:17:08.440819,1426.89,Trial
lead_001335,2025-02-17 07:32:08.440819,2823.22,Purchase
lead_001349,2025-02-21 04:24:08.440819,3319.39,Subscription
lead_001350,2025-02-14 21:47:08.440819,7548.76,Trial
lead_001355,2025-03-08 12:14:08.440819,7739.05,Demo
lead_001356,2025-02-21 22:22:08.440819,9681.53,Trial
lead_001362,2025-02-26 03:56:08.440819,9445.07,Demo
lead_001366,2025-02-25 17:08:08.440819,8611.49,Purchase
lead_001373,2025-02-23 06:10:08.440819,1660.58,Trial
lead_001374,2025-02-18 00:38:08.440819,5932.31,Demo
lead_001386,2025-02-23 22:54:08.440819,5848.99,Purchase
lead_001387,2025-03-15 14:59:08.440819,1778.07,Trial
lead_001389,2025-02-20 08:11:08.440819,9606.31,Subscription
lead_001390,2025-03-06 18:24:08.440819,1833.49,Purchase
lead_001395,2025-03-08 16:21:08.440819,8104.5,Subscription
lead_001396,2025-03-09 05:01:08.440819,9318.35,Trial
lead_001402,2025-02-20 00:48:08.440819,9174.96,Purchase
lead_001403,2025-03-13 03:58:08.440819,7267.44,Purchase
lead_001405,2025-03-19 15:20:08.440819,8188.61,Trial
lead_001407,2025-02-21 18:14:08.440819,2338.89,Demo
lead_001410,2025-03-19 01:48:08.440819,9089.14,Trial
lead_001411,2025-03-07 07:39:08.440819,9962.57,Purchase
lead_001413,2025-03-20 07:07:08.440819,6750.9,Trial
lead_001417,2025-03-18 12:18:08.440819,5973.82,Purchase
lead_001420,2025-02-22 03:17:08.440819,8667.88,Purchase
lead_001421,2025-03-14 17:19:08.440819,4949.28,Purchase
lead_001427,2025-03-06 03:50:08.440819,4765.47,Purchase
lead_001432,2025-03-19 11:00:08.440819,1174.07,Subscription
lead_001439,2025-03-16 07:25:08.440819,9747.13,Demo
lead_001443,2025-02-23 09:17:08.440819,9758.05,Subscription
lead_001444,2025-03-05 08:57:08.440819,3899.67,Demo
lead_001446,2025-03-18 05:02:08.440819,3217.72,Subscription
lead_001447,2025-02-19 13:01:08.440819,5439.47,Subscription
lead_001450,2025-03-05 16:21:08.440819,2443.56,Purchase
lead_001453,2025-02-24 21:04:08.440819,1464.5,Trial
lead_001457,2025-03-14 04:41:08.440819,2673.82,Subscription
lead_001465,2025-03-16 04:20:08.440819,7220.67,Purchase
lead_001472,2025-02-22 16:44:08.440819,9505.2,Trial
lead_001475,2025-03-20 22:25:08.440819,1642.44,Demo
lead_001476,2025-03-15 08:50:08.440819,8991.38,Subscription
lead_001481,2025-03-19 23:23:08.440819,4738.77,Demo
lead_001486,2025-03-06 19:50:08.440819,4850.16,Trial
lead_001488,2025-02-26 19:09:08.440819,2888.96,Trial
lead_001489,2025-03-12 09:53:08.440819,7526.62,Demo
lead_001491,2025-02-21 07:56:08.440819,6102.01,Subscription
lead_001492,2025-02-23 21:04:08.440819,8563.03,Demo
lead_001496,2025-03-11 13:34:08.440819,2861.64,Purchase
lead_001501,2025-02-22 19:59:08.440819,2781.98,Trial
lead_001507,2025-03-22 01:59:08.440819,6479.65,Demo
lead_001509,2025-03-19 14:12:08.440819,6755.24,Purchase
lead_001511,2025-03-06 02:32:08.440819,7445.03,Demo
lead_001518,2025-03-22 11:17:08.440819,3917.88,Purchase
lead_001526,2025-03-15 11:34:08.440819,3671.79,Demo
lead_001531,2025-03-23 22:27:08.440819,4978.92,Demo
